Time (days),Moon X Position (m),Moon Y Position (m),Moonlet1 X Position (m)),Moonlet1 Y Position (m),Moonlet2 X Position (m),Moonlet2 Y Position (m),L4 X Position (m),L4 Y Position (m)
0,384000000.0,0.0,768000000.0,1022.9035909124276,778000000.0,1022.9035909124276,-191999999.99560022,4.072608916685151e-08
1,383999999.9986376,1022.9035909112177,768000000.0,2045.807181824855,778000000.0,2045.807181824855,-191999999.99491903,-885.8604952610588
2,383999999.99455035,2045.8071818151773,768000000.0,3068.7107727372827,778000000.0,3068.7107727372827,-191999999.9928754,-1771.7209905565576
3,383999999.9877383,3068.71077270462,768000000.0,4091.6143636497095,778000000.0,4091.6143636497095,-191999999.98946938,-2657.5814858394842
4,383999999.9782014,4091.614363572287,768000000.0,5114.517954562136,778000000.0,5114.517954562136,-191999999.98470092,-3543.4419811035536
5,383999999.96593976,5114.517954410921,768000000.0,6137.421545474564,778000000.0,6137.421545474564,-191999999.9785701,-4429.302476342478
6,383999999.9509532,6137.421545213263,768000000.0,7160.325136386992,778000000.0,7160.325136386992,-191999999.97107682,-5315.162971549974
7,383999999.93324184,7160.325135972053,768000000.0,8183.22872729942,778000000.0,8183.22872729942,-191999999.96222115,-6201.023466719754
8,383999999.9128057,8183.228726680036,768000000.0,9206.132318211847,778000000.0,9206.132318211847,-191999999.95200306,-7086.883961845531
9,383999999.88964474,9206.13231732995,768000000.0,10229.035909124274,778000000.0,10229.035909124274,-191999999.9404226,-7972.744456921021
10,383999999.8637589,10229.03590791454,768000000.0,11251.939500036702,778000000.0,11251.939500036702,-191999999.92747968,-8858.604951939937
11,383999999.8351483,11251.939498426545,768000000.0,12274.84309094913,778000000.0,12274.84309094913,-191999999.91317436,-9744.465446895994
12,383999999.8038128,12274.84308885871,768000000.0,13297.746681861558,778000000.0,13297.746681861558,-191999999.89750662,-10630.325941782905
13,383999999.7697525,13297.746679203772,768000000.0,14320.650272773984,778000000.0,14320.650272773984,-191999999.88047647,-11516.186436594384
