Time (days),Moon X Position (m),Moon Y Position (m),Moonlet1 X Position (m)),Moonlet1 Y Position (m),Moonlet2 X Position (m),Moonlet2 Y Position (m),L4 X Position (m),L4 Y Position (m)
0,384000000.0,0.0,768000000.0,1022.9035909124276,778000000.0,1022.9035909124276,-191999999.64469683,4.07260891521186e-08
1,383999999.9986376,1022.9035909112177,768000000.0,2045.807181824855,778000000.0,2045.807181824855,-191999999.64401564,-885.8604945705517
2,383999999.99455035,2045.8071818151773,768000000.0,3068.7107727372827,778000000.0,3068.7107727372827,-191999999.641972,-1771.7209891755435
3,383999999.9877383,3068.71077270462,768000000.0,4091.6143636497095,778000000.0,4091.6143636497095,-191999999.638566,-2657.581483767963
4,383999999.9782014,4091.614363572287,768000000.0,5114.517954562136,778000000.0,5114.517954562136,-191999999.63379753,-3543.4419783415256
5,383999999.96593976,5114.517954410921,768000000.0,6137.421545474564,778000000.0,6137.421545474564,-191999999.6276667,-4429.302472889944
6,383999999.9509532,6137.421545213263,768000000.0,7160.325136386992,778000000.0,7160.325136386992,-191999999.62017342,-5315.162967406932
7,383999999.93324184,7160.325135972053,768000000.0,8183.22872729942,778000000.0,8183.22872729942,-191999999.61131778,-6201.023461886205
8,383999999.9128057,8183.228726680036,768000000.0,9206.132318211847,778000000.0,9206.132318211847,-191999999.6010997,-7086.883956321475
9,383999999.88964474,9206.13231732995,768000000.0,10229.035909124274,778000000.0,10229.035909124274,-191999999.58951923,-7972.744450706457
10,383999999.8637589,10229.03590791454,768000000.0,11251.939500036702,778000000.0,11251.939500036702,-191999999.57657632,-8858.604945034867
11,383999999.8351483,11251.939498426545,768000000.0,12274.84309094913,778000000.0,12274.84309094913,-191999999.562271,-9744.465439300417
12,383999999.8038128,12274.84308885871,768000000.0,13297.746681861558,778000000.0,13297.746681861558,-191999999.54660326,-10630.32593349682
13,383999999.7697525,13297.746679203772,768000000.0,14320.650272773984,778000000.0,14320.650272773984,-191999999.5295731,-11516.186427617793
14,383999999.7329674,14320.65026945447,768000000.0,15343.553863686415,778000000.0,15343.553863686415,-191999999.51118055,-12402.046921657047
15,383999999.6934575,15343.553859603557,768000000.0,16366.457454598842,778000000.0,16366.457454598842,-191999999.4914256,-13287.907415608299
16,383999999.65122277,16366.457449643765,768000000.0,17389.361045511272,778000000.0,17389.361045511272,-191999999.47030824,-14173.76790946526
17,383999999.60626316,17389.361039567837,768000000.0,18412.264636423704,778000000.0,18412.264636423704,-191999999.44782844,-15059.628403221646
18,383999999.5585788,18412.26462936852,768000000.0,19435.168227336137,778000000.0,19435.168227336137,-191999999.42398626,-15945.48889687117
19,383999999.5081696,19435.168219038544,768000000.0,20458.071818248565,778000000.0,20458.071818248565,-191999999.39878166,-16831.349390407548
20,383999999.45503557,20458.07180857067,768000000.0,21480.975409160998,778000000.0,21480.975409160998,-191999999.37221465,-17717.20988382449
21,383999999.39917666,21480.97539795762,768000000.0,22503.879000073426,778000000.0,22503.879000073426,-191999999.3442852,-18603.070377115717
22,383999999.340593,22503.87898719214,768000000.0,23526.782590985855,778000000.0,23526.782590985855,-191999999.31499335,-19488.930870274933
23,383999999.27928454,23526.78257626698,768000000.0,24549.68618189828,778000000.0,24549.68618189828,-191999999.28433913,-20374.791363295863
24,383999999.2152512,24549.68616517488,768000000.0,25572.589772810705,778000000.0,25572.589772810705,-191999999.25232247,-21260.65185617221
25,383999999.148493,25572.589753908574,768000000.0,26595.493363723137,778000000.0,26595.493363723137,-191999999.21894336,-22146.512348897697
26,383999999.07901007,26595.49334246081,768000000.0,27618.39695463557,778000000.0,27618.39695463557,-191999999.1842019,-23032.37284146604
27,383999999.00680226,27618.39693082432,768000000.0,28641.300545547994,778000000.0,28641.300545547994,-191999999.148098,-23918.23333387094
28,383999998.9318697,28641.30051899186,768000000.0,29664.204136460423,778000000.0,29664.204136460423,-191999999.1106317,-24804.093826106116
29,383999998.8542122,29664.204106956164,768000000.0,30687.107727372848,778000000.0,30687.107727372848,-191999999.07180297,-25689.954318165295
