Time (days),Moon X Position (m),Moon Y Position (m),Moonlet1 X Position (m)),Moonlet1 Y Position (m),Moonlet2 X Position (m),Moonlet2 Y Position (m),L4 X Position (m),L4 Y Position (m)
0,384000000.0,0.0,768000000.0,1022.9035909124276,778000000.0,1022.9035909124276,-191999999.9991447,4.072608916700033e-08
1,383999999.9986376,1022.9035909112177,768000000.0,2045.807181824855,778000000.0,2045.807181824855,-191999999.9984635,-885.8604952680336
2,383999999.99455035,2045.8071818151773,768000000.0,3068.7107727372827,778000000.0,3068.7107727372827,-191999999.99641988,-1771.7209905705072
3,383999999.9877383,3068.71077270462,768000000.0,4091.6143636497095,778000000.0,4091.6143636497095,-191999999.99301386,-2657.581485860409
4,383999999.9782014,4091.614363572287,768000000.0,5114.517954562136,778000000.0,5114.517954562136,-191999999.9882454,-3543.441981131453
5,383999999.96593976,5114.517954410921,768000000.0,6137.421545474564,778000000.0,6137.421545474564,-191999999.98211458,-4429.302476377353
6,383999999.9509532,6137.421545213263,768000000.0,7160.325136386992,778000000.0,7160.325136386992,-191999999.9746213,-5315.162971591823
7,383999999.93324184,7160.325135972053,768000000.0,8183.22872729942,778000000.0,8183.22872729942,-191999999.96576563,-6201.023466768577
8,383999999.9128057,8183.228726680036,768000000.0,9206.132318211847,778000000.0,9206.132318211847,-191999999.95554754,-7086.88396190133
9,383999999.88964474,9206.13231732995,768000000.0,10229.035909124274,778000000.0,10229.035909124274,-191999999.94396707,-7972.744456983794
10,383999999.8637589,10229.03590791454,768000000.0,11251.939500036702,778000000.0,11251.939500036702,-191999999.93102416,-8858.604952009686
11,383999999.8351483,11251.939498426545,768000000.0,12274.84309094913,778000000.0,12274.84309094913,-191999999.91671884,-9744.465446972717
12,383999999.8038128,12274.84308885871,768000000.0,13297.746681861558,778000000.0,13297.746681861558,-191999999.9010511,-10630.325941866604
13,383999999.7697525,13297.746679203772,768000000.0,14320.650272773984,778000000.0,14320.650272773984,-191999999.88402095,-11516.186436685055
14,383999999.7329674,14320.65026945447,768000000.0,15343.553863686415,778000000.0,15343.553863686415,-191999999.8656284,-12402.046931421792
15,383999999.6934575,15343.553859603557,768000000.0,16366.457454598842,778000000.0,16366.457454598842,-191999999.84587345,-13287.907426070526
16,383999999.65122277,16366.457449643765,768000000.0,17389.361045511272,778000000.0,17389.361045511272,-191999999.8247561,-14173.767920624969
17,383999999.60626316,17389.361039567837,768000000.0,18412.264636423704,778000000.0,18412.264636423704,-191999999.80227628,-15059.628415078838
18,383999999.5585788,18412.26462936852,768000000.0,19435.168227336137,778000000.0,19435.168227336137,-191999999.7784341,-15945.488909425843
19,383999999.5081696,19435.168219038544,768000000.0,20458.071818248565,778000000.0,20458.071818248565,-191999999.7532295,-16831.349403659704
20,383999999.45503557,20458.07180857067,768000000.0,21480.975409160998,778000000.0,21480.975409160998,-191999999.7266625,-17717.209897774126
21,383999999.39917666,21480.97539795762,768000000.0,22503.879000073426,778000000.0,22503.879000073426,-191999999.69873303,-18603.070391762834
22,383999999.340593,22503.87898719214,768000000.0,23526.782590985855,778000000.0,23526.782590985855,-191999999.6694412,-19488.930885619535
23,383999999.27928454,23526.78257626698,768000000.0,24549.68618189828,778000000.0,24549.68618189828,-191999999.63878697,-20374.791379337945
24,383999999.2152512,24549.68616517488,768000000.0,25572.589772810705,778000000.0,25572.589772810705,-191999999.6067703,-21260.651872911778
25,383999999.148493,25572.589753908574,768000000.0,26595.493363723137,778000000.0,26595.493363723137,-191999999.5733912,-22146.51236633474
26,383999999.07901007,26595.49334246081,768000000.0,27618.39695463557,778000000.0,27618.39695463557,-191999999.53864974,-23032.372859600564
27,383999999.00680226,27618.39693082432,768000000.0,28641.300545547994,778000000.0,28641.300545547994,-191999999.50254583,-23918.233352702948
28,383999998.9318697,28641.30051899186,768000000.0,29664.204136460423,778000000.0,29664.204136460423,-191999999.46507955,-24804.093845635605
29,383999998.8542122,29664.204106956164,768000000.0,30687.107727372848,778000000.0,30687.107727372848,-191999999.42625082,-25689.95433839227
30,383999998.77383,30687.10769470997,768000000.0,31710.011318285277,778000000.0,31710.011318285277,-191999999.3860597,-26575.81483096663
31,383999998.6907229,31710.01128224602,768000000.0,32732.91490919771,778000000.0,32732.91490919771,-191999999.34450614,-27461.675323352414
32,383999998.604891,32732.914869557066,768000000.0,33755.81850011013,778000000.0,33755.81850011013,-191999999.3015902,-28347.53581554333
33,383999998.5163343,33755.818456635854,768000000.0,34778.72209102256,778000000.0,34778.72209102256,-191999999.25731185,-29233.396307533098
34,383999998.4250527,34778.7220434751,768000000.0,35801.62568193499,778000000.0,35801.62568193499,-191999999.21167105,-30119.25679931543
35,383999998.33104634,35801.62563006755,768000000.0,36824.529272847416,778000000.0,36824.529272847416,-191999999.16466787,-31005.117290884034
36,383999998.23431516,36824.52921640597,768000000.0,37847.43286375985,778000000.0,37847.43286375985,-191999999.11630228,-31890.977782232636
37,383999998.13485914,37847.4328024831,768000000.0,38870.33645467229,778000000.0,38870.33645467229,-191999999.06657428,-32776.83827335494
38,383999998.0326783,38870.33638829164,768000000.0,39893.240045584724,778000000.0,39893.240045584724,-191999999.01548386,-33662.69876424466
39,383999997.92777264,39893.23997382438,768000000.0,40916.143636497145,778000000.0,40916.143636497145,-191999998.96303102,-34548.55925489552
40,383999997.82014215,40916.14355907404,768000000.0,41939.047227409574,778000000.0,41939.047227409574,-191999998.90921578,-35434.419745301224
41,383999997.7097869,41939.04714403335,768000000.0,42961.95081832201,778000000.0,42961.95081832201,-191999998.85403815,-36320.28023545548
42,383999997.59670675,42961.95072869508,768000000.0,43984.854409234445,778000000.0,43984.854409234445,-191999998.79749808,-37206.14072535202
43,383999997.48090184,43984.85431305195,768000000.0,45007.75800014688,778000000.0,45007.75800014688,-191999998.73959562,-38092.00121498456
44,383999997.36237204,45007.75789709671,768000000.0,46030.661591059295,778000000.0,46030.661591059295,-191999998.68033072,-38977.86170434679
45,383999997.2411174,46030.6614808221,768000000.0,47053.56518197172,778000000.0,47053.56518197172,-191999998.6197034,-39863.72219343243
46,383999997.117138,47053.56506422086,768000000.0,48076.468772884145,778000000.0,48076.468772884145,-191999998.55771372,-40749.582682235225
47,383999996.9904338,48076.468647285736,768000000.0,49099.372363796574,778000000.0,49099.372363796574,-191999998.4943616,-41635.44317074884
48,383999996.8610047,49099.37223000946,768000000.0,50122.275954708995,778000000.0,50122.275954708995,-191999998.42964706,-42521.30365896703
49,383999996.72885084,50122.27581238479,768000000.0,51145.17954562143,778000000.0,51145.17954562143,-191999998.36357012,-43407.164146883486
50,383999996.59397215,51145.17939440444,768000000.0,52168.08313653386,778000000.0,52168.08313653386,-191999998.29613078,-44293.02463449193
51,383999996.4563686,52168.08297606119,768000000.0,53190.986727446296,778000000.0,53190.986727446296,-191999998.22732902,-45178.88512178608
52,383999996.3160403,53190.98655734775,768000000.0,54213.89031835873,778000000.0,54213.89031835873,-191999998.15716484,-46064.745608759644
53,383999996.1729871,54213.89013825687,768000000.0,55236.79390927116,778000000.0,55236.79390927116,-191999998.08563825,-46950.60609540634
54,383999996.02720916,55236.79371878131,768000000.0,56259.697500183596,778000000.0,56259.697500183596,-191999998.01274928,-47836.46658171987
55,383999995.87870634,56259.69729891379,768000000.0,57282.601091096025,778000000.0,57282.601091096025,-191999997.93849787,-48722.32706769397
56,383999995.7274787,57282.600878647034,768000000.0,58305.50468200845,778000000.0,58305.50468200845,-191999997.86288404,-49608.187553322336
57,383999995.5735262,58305.504457973824,768000000.0,59328.40827292088,778000000.0,59328.40827292088,-191999997.7859078,-50494.04803859869
58,383999995.41684896,59328.408036886896,768000000.0,60351.31186383331,778000000.0,60351.31186383331,-191999997.70756918,-51379.90852351674
59,383999995.2574468,60351.31161537897,768000000.0,61374.21545474575,778000000.0,61374.21545474575,-191999997.62786812,-52265.76900807021
60,383999995.0953199,61374.2151934428,768000000.0,62397.119045658175,778000000.0,62397.119045658175,-191999997.54680467,-53151.629492252796
61,383999994.9304682,62397.11877107112,768000000.0,63420.022636570604,778000000.0,63420.022636570604,-191999997.4643788,-54037.489976058234
62,383999994.7628916,63420.02234825667,768000000.0,64442.926227483025,778000000.0,64442.926227483025,-191999997.3805905,-54923.35045948022
63,383999994.5925902,64442.92592499222,768000000.0,65465.829818395454,778000000.0,65465.829818395454,-191999997.2954398,-55809.21094251249
64,383999994.41956395,65465.82950127047,768000000.0,66488.73340930788,778000000.0,66488.73340930788,-191999997.20892668,-56695.07142514873
65,383999994.243813,66488.73307708418,768000000.0,67511.63700022032,778000000.0,67511.63700022032,-191999997.1210512,-57580.93190738268
66,383999994.0653371,67511.63665242611,768000000.0,68534.54059113274,778000000.0,68534.54059113274,-191999997.03181326,-58466.79238920803
