Time (days),Moon X Position (m),Moon Y Position (m),Moonlet1 X Position (m)),Moonlet1 Y Position (m),Moonlet2 X Position (m),Moonlet2 Y Position (m),L4 X Position (m),L4 Y Position (m)
0,384000000.0,0.0,768000000.0,1022.9035909124276,778000000.0,1022.9035909124276,192000000.0023598,0.0
1,383999999.9986376,1022.9035909112177,768000000.0,2045.807181824855,778000000.0,2045.807181824855,192000000.00167862,885.8604953519963
2,383999999.99455035,2045.8071818151773,768000000.0,3068.7107727372827,778000000.0,3068.7107727372827,191999999.99963498,1771.7209906977068
3,383999999.9877383,3068.71077270462,768000000.0,4091.6143636497095,778000000.0,4091.6143636497095,191999999.99622896,2657.581486030845
4,383999999.9782014,4091.614363572287,768000000.0,5114.517954562136,778000000.0,5114.517954562136,191999999.9914605,3543.441981345126
5,383999999.96593976,5114.517954410921,768000000.0,6137.421545474564,778000000.0,6137.421545474564,191999999.9853297,4429.302476634263
6,383999999.9509532,6137.421545213263,768000000.0,7160.325136386992,778000000.0,7160.325136386992,191999999.9778364,5315.16297189197
7,383999999.93324184,7160.325135972053,768000000.0,8183.22872729942,778000000.0,8183.22872729942,191999999.96898073,6201.0234671119615
8,383999999.9128057,8183.228726680036,768000000.0,9206.132318211847,778000000.0,9206.132318211847,191999999.95876265,7086.88396228795
9,383999999.88964474,9206.13231732995,768000000.0,10229.035909124274,778000000.0,10229.035909124274,191999999.94718218,7972.744457413652
10,383999999.8637589,10229.03590791454,768000000.0,11251.939500036702,778000000.0,11251.939500036702,191999999.93423927,8858.604952482781
11,383999999.8351483,11251.939498426545,768000000.0,12274.84309094913,778000000.0,12274.84309094913,191999999.91993394,9744.46544748905
12,383999999.8038128,12274.84308885871,768000000.0,13297.746681861558,778000000.0,13297.746681861558,191999999.9042662,10630.325942426172
13,383999999.7697525,13297.746679203772,768000000.0,14320.650272773984,778000000.0,14320.650272773984,191999999.88723606,11516.186437287863
