Time (days),Moon X Position (m),Moon Y Position (m),Moonlet1 X Position (m)),Moonlet1 Y Position (m),Moonlet2 X Position (m),Moonlet2 Y Position (m),L4 X Position (m),L4 Y Position (m)
0,384000000.0,0.0,768000000.0,1022.9035909124276,778000000.0,1022.9035909124276,192000000.97354177,0.0
1,383999999.9986376,1022.9035909112177,768000000.0,2045.807181824855,778000000.0,2045.807181824855,192000000.97286057,885.8604955791188
2,383999999.99455035,2045.8071818151773,768000000.0,3068.7107727372827,778000000.0,3068.7107727372827,192000000.97081694,1771.720991151952
3,383999999.9877383,3068.71077270462,768000000.0,4091.6143636497095,778000000.0,4091.6143636497095,192000000.96741092,2657.5814867122126
4,383999999.9782014,4091.614363572287,768000000.0,5114.517954562136,778000000.0,5114.517954562136,192000000.96264246,3543.441982253616
5,383999999.96593976,5114.517954410921,768000000.0,6137.421545474564,778000000.0,6137.421545474564,192000000.95651165,4429.302477769876
6,383999999.9509532,6137.421545213263,768000000.0,7160.325136386992,778000000.0,7160.325136386992,192000000.94901836,5315.162973254705
7,383999999.93324184,7160.325135972053,768000000.0,8183.22872729942,778000000.0,8183.22872729942,192000000.9401627,6201.023468701819
8,383999999.9128057,8183.228726680036,768000000.0,9206.132318211847,778000000.0,9206.132318211847,192000000.9299446,7086.883964104931
9,383999999.88964474,9206.13231732995,768000000.0,10229.035909124274,778000000.0,10229.035909124274,192000000.91836414,7972.744459457755
10,383999999.8637589,10229.03590791454,768000000.0,11251.939500036702,778000000.0,11251.939500036702,192000000.90542123,8858.604954754006
11,383999999.8351483,11251.939498426545,768000000.0,12274.84309094913,778000000.0,12274.84309094913,192000000.8911159,9744.465449987398
12,383999999.8038128,12274.84308885871,768000000.0,13297.746681861558,778000000.0,13297.746681861558,192000000.87544817,10630.325945151642
13,383999999.7697525,13297.746679203772,768000000.0,14320.650272773984,778000000.0,14320.650272773984,192000000.85841802,11516.186440240455
14,383999999.7329674,14320.65026945447,768000000.0,15343.553863686415,778000000.0,15343.553863686415,192000000.84002545,12402.04693524755
15,383999999.6934575,15343.553859603557,768000000.0,16366.457454598842,778000000.0,16366.457454598842,192000000.8202705,13287.907430166642
16,383999999.65122277,16366.457449643765,768000000.0,17389.361045511272,778000000.0,17389.361045511272,192000000.79915315,14173.767924991445
17,383999999.60626316,17389.361039567837,768000000.0,18412.264636423704,778000000.0,18412.264636423704,192000000.77667335,15059.628419715673
18,383999999.5585788,18412.26462936852,768000000.0,19435.168227336137,778000000.0,19435.168227336137,192000000.75283116,15945.488914333038
19,383999999.5081696,19435.168219038544,768000000.0,20458.071818248565,778000000.0,20458.071818248565,192000000.72762656,16831.349408837257
20,383999999.45503557,20458.07180857067,768000000.0,21480.975409160998,778000000.0,21480.975409160998,192000000.70105955,17717.209903222043
21,383999999.39917666,21480.97539795762,768000000.0,22503.879000073426,778000000.0,22503.879000073426,192000000.6731301,18603.070397481108
22,383999999.340593,22503.87898719214,768000000.0,23526.782590985855,778000000.0,23526.782590985855,192000000.64383826,19488.930891608168
23,383999999.27928454,23526.78257626698,768000000.0,24549.68618189828,778000000.0,24549.68618189828,192000000.61318403,20374.791385596935
24,383999999.2152512,24549.68616517488,768000000.0,25572.589772810705,778000000.0,25572.589772810705,192000000.58116737,21260.651879441124
25,383999999.148493,25572.589753908574,768000000.0,26595.493363723137,778000000.0,26595.493363723137,192000000.54778826,22146.512373134454
26,383999999.07901007,26595.49334246081,768000000.0,27618.39695463557,778000000.0,27618.39695463557,192000000.5130468,23032.37286667063
27,383999999.00680226,27618.39693082432,768000000.0,28641.300545547994,778000000.0,28641.300545547994,192000000.4769429,23918.23336004337
28,383999998.9318697,28641.30051899186,768000000.0,29664.204136460423,778000000.0,29664.204136460423,192000000.4394766,24804.09385324639
29,383999998.8542122,29664.204106956164,768000000.0,30687.107727372848,778000000.0,30687.107727372848,192000000.40064788,25689.954346273404
30,383999998.77383,30687.10769470997,768000000.0,31710.011318285277,778000000.0,31710.011318285277,192000000.36045676,26575.814839118124
31,383999998.6907229,31710.01128224602,768000000.0,32732.91490919771,778000000.0,32732.91490919771,192000000.3189032,27461.675331774266
32,383999998.604891,32732.914869557066,768000000.0,33755.81850011013,778000000.0,33755.81850011013,192000000.27598727,28347.53582423554
33,383999998.5163343,33755.818456635854,768000000.0,34778.72209102256,778000000.0,34778.72209102256,192000000.2317089,29233.396316495666
34,383999998.4250527,34778.7220434751,768000000.0,35801.62568193499,778000000.0,35801.62568193499,192000000.18606812,30119.256808548354
35,383999998.33104634,35801.62563006755,768000000.0,36824.529272847416,778000000.0,36824.529272847416,192000000.13906494,31005.11730038732
36,383999998.23431516,36824.52921640597,768000000.0,37847.43286375985,778000000.0,37847.43286375985,192000000.09069934,31890.977792006273
37,383999998.13485914,37847.4328024831,768000000.0,38870.33645467229,778000000.0,38870.33645467229,192000000.04097134,32776.83828339894
38,383999998.0326783,38870.33638829164,768000000.0,39893.240045584724,778000000.0,39893.240045584724,191999999.9898809,33662.698774559016
39,383999997.92777264,39893.23997382438,768000000.0,40916.143636497145,778000000.0,40916.143636497145,191999999.93742806,34548.55926548023
40,383999997.82014215,40916.14355907404,768000000.0,41939.047227409574,778000000.0,41939.047227409574,191999999.8836128,35434.41975615629
41,383999997.7097869,41939.04714403335,768000000.0,42961.95081832201,778000000.0,42961.95081832201,191999999.82843518,36320.280246580915
42,383999997.59670675,42961.95072869508,768000000.0,43984.854409234445,778000000.0,43984.854409234445,191999999.7718951,37206.14073674781
43,383999997.48090184,43984.85431305195,768000000.0,45007.75800014688,778000000.0,45007.75800014688,191999999.71399266,38092.0012266507
44,383999997.36237204,45007.75789709671,768000000.0,46030.661591059295,778000000.0,46030.661591059295,191999999.65472776,38977.86171628328
45,383999997.2411174,46030.6614808221,768000000.0,47053.56518197172,778000000.0,47053.56518197172,191999999.59410045,39863.72220563929
46,383999997.117138,47053.56506422086,768000000.0,48076.468772884145,778000000.0,48076.468772884145,191999999.53211075,40749.58269471244
47,383999996.9904338,48076.468647285736,768000000.0,49099.372363796574,778000000.0,49099.372363796574,191999999.46875864,41635.44318349641
48,383999996.8610047,49099.37223000946,768000000.0,50122.275954708995,778000000.0,50122.275954708995,191999999.4040441,42521.303671984955
49,383999996.72885084,50122.27581238479,768000000.0,51145.17954562143,778000000.0,51145.17954562143,191999999.33796716,43407.16416017178
50,383999996.59397215,51145.17939440444,768000000.0,52168.08313653386,778000000.0,52168.08313653386,191999999.2705278,44293.024648050574
51,383999996.4563686,52168.08297606119,768000000.0,53190.986727446296,778000000.0,53190.986727446296,191999999.20172605,45178.885135615084
52,383999996.3160403,53190.98655734775,768000000.0,54213.89031835873,778000000.0,54213.89031835873,191999999.13156188,46064.745622859
53,383999996.1729871,54213.89013825687,768000000.0,55236.79390927116,778000000.0,55236.79390927116,191999999.0600353,46950.606109776054
54,383999996.02720916,55236.79371878131,768000000.0,56259.697500183596,778000000.0,56259.697500183596,191999998.98714632,47836.466596359955
55,383999995.87870634,56259.69729891379,768000000.0,57282.601091096025,778000000.0,57282.601091096025,191999998.9128949,48722.327082604395
56,383999995.7274787,57282.600878647034,768000000.0,58305.50468200845,778000000.0,58305.50468200845,191999998.83728108,49608.18756850313
57,383999995.5735262,58305.504457973824,768000000.0,59328.40827292088,778000000.0,59328.40827292088,191999998.76030484,50494.04805404983
58,383999995.41684896,59328.408036886896,768000000.0,60351.31186383331,778000000.0,60351.31186383331,191999998.68196622,51379.90853923825
59,383999995.2574468,60351.31161537897,768000000.0,61374.21545474575,778000000.0,61374.21545474575,191999998.60226515,52265.769024062065
60,383999995.0953199,61374.2151934428,768000000.0,62397.119045658175,778000000.0,62397.119045658175,191999998.5212017,53151.62950851502
61,383999994.9304682,62397.11877107112,768000000.0,63420.022636570604,778000000.0,63420.022636570604,191999998.43877584,54037.4899925908
62,383999994.7628916,63420.02234825667,768000000.0,64442.926227483025,778000000.0,64442.926227483025,191999998.35498753,54923.35047628316
63,383999994.5925902,64442.92592499222,768000000.0,65465.829818395454,778000000.0,65465.829818395454,191999998.26983684,55809.21095958578
64,383999994.41956395,65465.82950127047,768000000.0,66488.73340930788,778000000.0,66488.73340930788,191999998.1833237,56695.07144249238
65,383999994.243813,66488.73307708418,768000000.0,67511.63700022032,778000000.0,67511.63700022032,191999998.09544823,57580.93192499667
66,383999994.0653371,67511.63665242611,768000000.0,68534.54059113274,778000000.0,68534.54059113274,191999998.0062103,58466.792407092384
67,383999993.8841364,68534.54022728899,768000000.0,69557.44418204518,778000000.0,69557.44418204518,191999997.91560993,59352.65288877323
68,383999993.70021087,69557.44380166553,768000000.0,70580.3477729576,778000000.0,70580.3477729576,191999997.82364717,60238.5133700329
69,383999993.5135606,70580.34737554852,768000000.0,71603.25136387003,778000000.0,71603.25136387003,191999997.73032203,61124.37385086514
70,383999993.32418543,71603.25094893067,768000000.0,72626.15495478245,778000000.0,72626.15495478245,191999997.63563445,62010.23433126364
71,383999993.13208544,72626.15452180474,768000000.0,73649.05854569488,778000000.0,73649.05854569488,191999997.53958446,62896.09481122212
72,383999992.9372606,73649.05809416344,768000000.0,74671.96213660731,778000000.0,74671.96213660731,191999997.44217205,63781.95529073429
73,383999992.73971105,74671.96166599955,768000000.0,75694.86572751973,778000000.0,75694.86572751973,191999997.34339726,64667.81576979388
74,383999992.53943664,75694.86523730581,768000000.0,76717.76931843215,778000000.0,76717.76931843215,191999997.24326006,65553.6762483946
75,383999992.33643734,76717.76880807492,768000000.0,77740.67290934458,778000000.0,77740.67290934458,191999997.1417604,66439.53672653015
76,383999992.1307133,77740.67237829966,768000000.0,78763.576500257,778000000.0,78763.576500257,191999997.03889838,67325.39720419425
77,383999991.92226434,78763.57594797277,768000000.0,79786.48009116943,778000000.0,79786.48009116943,191999996.9346739,68211.25768138062
78,383999991.7110906,79786.47951708698,768000000.0,80809.38368208185,778000000.0,80809.38368208185,191999996.82908705,69097.11815808297
79,383999991.4971921,80809.38308563503,768000000.0,81832.28727299428,778000000.0,81832.28727299428,191999996.72213778,69982.97863429501
80,383999991.2805687,81832.28665360966,768000000.0,82855.1908639067,778000000.0,82855.1908639067,191999996.6138261,70868.83911001046
81,383999991.0612205,82855.1902210036,768000000.0,83878.09445481912,778000000.0,83878.09445481912,191999996.504152,71754.69958522303
82,383999990.8391475,83878.09378780963,768000000.0,84900.99804573155,778000000.0,84900.99804573155,191999996.3931155,72640.56005992646
83,383999990.61434966,84900.99735402048,768000000.0,85923.90163664398,778000000.0,85923.90163664398,191999996.28071657,73526.42053411441
84,383999990.38682705,85923.90091962888,768000000.0,86946.80522755641,778000000.0,86946.80522755641,191999996.16695526,74412.28100778064
85,383999990.15657955,86946.80448462756,768000000.0,87969.70881846883,778000000.0,87969.70881846883,191999996.0518315,75298.14148091884
86,383999989.92360723,87969.70804900928,768000000.0,88992.61240938125,778000000.0,88992.61240938125,191999995.93534535,76184.00195352273
87,383999989.68791014,88992.61161276676,768000000.0,90015.51600029369,778000000.0,90015.51600029369,191999995.8174968,77069.86242558603
88,383999989.44948816,90015.51517589278,768000000.0,91038.41959120611,778000000.0,91038.41959120611,191999995.69828582,77955.72289710247
89,383999989.2083414,91038.41873838006,768000000.0,92061.32318211855,778000000.0,92061.32318211855,191999995.57771245,78841.58336806572
90,383999988.9644698,92061.32230022133,768000000.0,93084.22677303097,778000000.0,93084.22677303097,191999995.45577663,79727.44383846954
91,383999988.7178734,93084.22586140934,768000000.0,94107.1303639434,778000000.0,94107.1303639434,191999995.33247843,80613.3043083076
92,383999988.4685522,94107.12942193686,768000000.0,95130.03395485584,778000000.0,95130.03395485584,191999995.20781782,81499.16477757366
93,383999988.2165061,95130.03298179657,768000000.0,96152.93754576826,778000000.0,96152.93754576826,191999995.0817948,82385.0252462614
94,383999987.9617352,96152.93654098129,768000000.0,97175.84113668068,778000000.0,97175.84113668068,191999994.95440933,83270.88571436454
95,383999987.7042395,97175.84009948368,768000000.0,98198.74472759312,778000000.0,98198.74472759312,191999994.82566148,84156.74618187682
96,383999987.444019,98198.74365729655,768000000.0,99221.64831850555,778000000.0,99221.64831850555,191999994.69555125,85042.60664879193
97,383999987.18107367,99221.64721441259,768000000.0,100244.55190941798,778000000.0,100244.55190941798,191999994.56407857,85928.46711510359
98,383999986.9154035,100244.55077082459,768000000.0,101267.45550033041,778000000.0,101267.45550033041,191999994.43124348,86814.32758080549
99,383999986.6470085,101267.45432652524,768000000.0,102290.35909124285,778000000.0,102290.35909124285,191999994.29704598,87700.18804589138
100,383999986.37588865,102290.3578815073,768000000.0,103313.26268215527,778000000.0,103313.26268215527,191999994.16148606,88586.04851035494
101,383999986.10204405,103313.26143576353,768000000.0,104336.16627306769,778000000.0,104336.16627306769,191999994.02456376,89471.90897418992
102,383999985.8254746,104336.16498928667,768000000.0,105359.0698639801,778000000.0,105359.0698639801,191999993.88627905,90357.76943739003
103,383999985.5461803,105359.06854206944,768000000.0,106381.9734548925,778000000.0,106381.9734548925,191999993.7466319,91243.62989994894
104,383999985.2641612,106381.97209410463,768000000.0,107404.87704580494,778000000.0,107404.87704580494,191999993.60562235,92129.49036186043
105,383999984.97941726,107404.87564538488,768000000.0,108427.78063671736,778000000.0,108427.78063671736,191999993.46325037,93015.35082311815
106,383999984.69194853,108427.77919590304,768000000.0,109450.6842276298,778000000.0,109450.6842276298,191999993.319516,93901.21128371586
107,383999984.401755,109450.68274565178,768000000.0,110473.58781854222,778000000.0,110473.58781854222,191999993.17441922,94787.07174364725
108,383999984.10883653,110473.58629462392,768000000.0,111496.49140945464,778000000.0,111496.49140945464,191999993.02796,95672.93220290604
109,383999983.8131934,111496.4898428121,768000000.0,112519.39500036706,778000000.0,112519.39500036706,191999992.88013843,96558.79266148595
110,383999983.5148253,112519.39339020917,768000000.0,113542.29859127948,778000000.0,113542.29859127948,191999992.73095438,97444.65311938069
111,383999983.2137324,113542.29693680776,768000000.0,114565.2021821919,778000000.0,114565.2021821919,191999992.58040795,98330.51357658397
112,383999982.9099148,114565.20048260066,768000000.0,115588.10577310433,778000000.0,115588.10577310433,191999992.42849913,99216.3740330895
113,383999982.6033723,115588.10402758064,768000000.0,116611.00936401675,778000000.0,116611.00936401675,191999992.27522787,100102.234488891
114,383999982.294105,116611.00757174043,768000000.0,117633.91295492917,778000000.0,117633.91295492917,191999992.12059423,100988.0949439822
115,383999981.98211277,117633.91111507277,768000000.0,118656.81654584159,778000000.0,118656.81654584159,191999991.96459812,101873.9553983568
116,383999981.66739583,118656.81465757037,768000000.0,119679.72013675404,778000000.0,119679.72013675404,191999991.80723965,102759.81585200851
117,383999981.34995407,119679.718199226,768000000.0,120702.62372766648,778000000.0,120702.62372766648,191999991.64851877,103645.67630493104
118,383999981.0297874,120702.6217400324,768000000.0,121725.52731857891,778000000.0,121725.52731857891,191999991.48843545,104531.53675711813
