Time (days),Moon X Position (m),Moon Y Position (m),Moonlet X Position (m),Moonlet Y Position (m),L4 X Position (m),L4 Y Position (m)
76,383999992.1307133,77740.67237829966,768000000.0,0.0,191932734.96722195,332592729.9957241
77,383999991.92226434,78763.57594797277,768000000.0,0.0,191931849.00222367,332593241.26715815
78,383999991.7110906,79786.47951708698,768000000.0,0.0,191930963.03586358,332593752.5362321
79,383999991.4971921,80809.38308563503,768000000.0,0.0,191930077.0681415,332594263.80294615
80,383999991.2805687,81832.28665360966,768000000.0,0.0,191929191.09905756,332594775.0673
81,383999991.0612205,82855.1902210036,768000000.0,0.0,191928305.12861165,332595286.32929397
82,383999990.8391475,83878.09378780963,768000000.0,0.0,191927419.15680382,332595797.58892787
83,383999990.61434966,84900.99735402048,768000000.0,0.0,191926533.1836342,332596308.84620154
84,383999990.38682705,85923.90091962888,768000000.0,0.0,191925647.20910254,332596820.1011152
85,383999990.15657955,86946.80448462756,768000000.0,0.0,191924761.23320913,332597331.3536688
86,383999989.92360723,87969.70804900928,768000000.0,0.0,191923875.25595376,332597842.6038624
87,383999989.68791014,88992.61161276676,768000000.0,0.0,191922989.27733666,332598353.85169584
88,383999989.44948816,90015.51517589278,768000000.0,0.0,191922103.29735747,332598865.09716904
89,383999989.2083414,91038.41873838006,768000000.0,0.0,191921217.3160166,332599376.3402825
90,383999988.9644698,92061.32230022133,768000000.0,0.0,191920331.3333138,332599887.5810356
91,383999988.7178734,93084.22586140934,768000000.0,0.0,191919445.34924912,332600398.8194288
92,383999988.4685522,94107.12942193686,768000000.0,0.0,191918559.3638227,332600910.05546176
93,383999988.2165061,95130.03298179657,768000000.0,0.0,191917673.3770344,332601421.28913474
94,383999987.9617352,96152.93654098129,768000000.0,0.0,191916787.38888425,332601932.52044743
95,383999987.7042395,97175.84009948368,768000000.0,0.0,191915901.39937228,332602443.7494001
96,383999987.444019,98198.74365729655,768000000.0,0.0,191915015.40849856,332602954.97599274
97,383999987.18107367,99221.64721441259,768000000.0,0.0,191914129.41626298,332603466.20022523
98,383999986.9154035,100244.55077082459,768000000.0,0.0,191913243.42266563,332603977.4220975
99,383999986.6470085,101267.45432652524,768000000.0,0.0,191912357.42770642,332604488.64160985
100,383999986.37588865,102290.3578815073,768000000.0,0.0,191911471.4313854,332604999.8587619
101,383999986.10204405,103313.26143576353,768000000.0,0.0,191910585.43370274,332605511.07355386
102,383999985.8254746,104336.16498928667,768000000.0,0.0,191909699.4346582,332606022.28598577
103,383999985.5461803,105359.06854206944,768000000.0,0.0,191908813.43425193,332606533.49605745
104,383999985.2641612,106381.97209410463,768000000.0,0.0,191907927.43248388,332607044.7037691
105,383999984.97941726,107404.87564538488,768000000.0,0.0,191907041.4293541,332607555.9091204
106,383999984.69194853,108427.77919590304,768000000.0,0.0,191906155.42486247,332608067.1121117
107,383999984.401755,109450.68274565178,768000000.0,0.0,191905269.41900924,332608578.3127429
108,383999984.10883653,110473.58629462392,768000000.0,0.0,191904383.41179416,332609089.5110138
109,383999983.8131934,111496.4898428121,768000000.0,0.0,191903497.40321732,332609600.7069247
110,383999983.5148253,112519.39339020917,768000000.0,0.0,191902611.39327884,332610111.9004752
111,383999983.2137324,113542.29693680776,768000000.0,0.0,191901725.38197857,332610623.09166574
112,383999982.9099148,114565.20048260066,768000000.0,0.0,191900839.3693167,332611134.28049606
113,383999982.6033723,115588.10402758064,768000000.0,0.0,191899953.35529304,332611645.4669663
114,383999982.294105,116611.00757174043,768000000.0,0.0,191899067.33990774,332612156.65107626
115,383999981.98211277,117633.91111507277,768000000.0,0.0,191898181.32316065,332612667.832826
116,383999981.66739583,118656.81465757037,768000000.0,0.0,191897295.30505195,332613179.0122156
117,383999981.34995407,119679.718199226,768000000.0,0.0,191896409.28558153,332613690.1892451
118,383999981.0297874,120702.6217400324,768000000.0,0.0,191895523.26474944,332614201.3639142
119,383999980.706896,121725.52527998228,768000000.0,0.0,191894637.24255568,332614712.53622335
120,383999980.38127977,122748.42881906845,768000000.0,0.0,191893751.2190002,332615223.70617217
121,383999980.05293864,123771.3323572836,768000000.0,0.0,191892865.19408315,332615734.87376076
122,383999979.72187275,124794.23589462048,768000000.0,0.0,191891979.16780442,332616246.03898925
123,383999979.388082,125817.1394310718,768000000.0,0.0,191891093.14016408,332616757.20185745
124,383999979.0515665,126840.04296663035,768000000.0,0.0,191890207.111162,332617268.3623655
125,383999978.7123261,127862.9465012889,768000000.0,0.0,191889321.08079842,332617779.52051324
126,383999978.370361,128885.85003504012,768000000.0,0.0,191888435.04907313,332618290.6763009
127,383999978.0256709,129908.75356787677,768000000.0,0.0,191887549.01598623,332618801.8297281
128,383999977.6782561,130931.6570997916,768000000.0,0.0,191886662.98153773,332619312.9807953
129,383999977.3281164,131954.56063077739,768000000.0,0.0,191885776.9457276,332619824.12950224
130,383999976.9752519,132977.46416082678,768000000.0,0.0,191884890.90855587,332620335.2758488
131,383999976.61966264,134000.36768993264,768000000.0,0.0,191884004.87002257,332620846.4198353
132,383999976.2613485,135023.2712180876,768000000.0,0.0,191883118.8301277,332621357.56146145
133,383999975.90030956,136046.1747452845,768000000.0,0.0,191882232.7888712,332621868.70072734
134,383999975.5365458,137069.078271516,768000000.0,0.0,191881346.7462532,332622379.8376331
135,383999975.17005724,138091.98179677487,768000000.0,0.0,191880460.70227352,332622890.9721785
