Time (days),Moon X Position (m),Moon Y Position (m),Moonlet X Position (m),Moonlet Y Position (m),L5 X Position (m),L5 Y Position (m)
0,384000000.0,0.0,768000000.0,1022.9035909124276,393005025.1256361,0.0
1,383999999.9986376,1022.9035909112177,768000000.0,2045.807181824855,393005025.1242658,1046.8912798103936
2,383999999.99455035,2045.8071818151773,768000000.0,3068.7107727372827,393005025.1201225,2093.782559613571
3,383999999.9877383,3068.71077270462,768000000.0,4091.6143636497095,393005025.1132067,3140.6738394022314
4,383999999.9782014,4091.614363572287,768000000.0,5114.517954562136,393005025.10351795,4187.565119169074
5,383999999.96593976,5114.517954410921,768000000.0,6137.421545474564,393005025.09105676,5234.456398906799
6,383999999.9509532,6137.421545213263,768000000.0,7160.325136386992,393005025.0758225,6281.347678608103
7,383999999.93324184,7160.325135972053,768000000.0,8183.22872729942,393005025.0578157,7328.238958265688
8,383999999.9128057,8183.228726680036,768000000.0,9206.132318211847,393005025.03703606,8375.13023787225
9,383999999.88964474,9206.13231732995,768000000.0,10229.035909124274,393005025.01348376,9422.021517420491
10,383999999.8637589,10229.03590791454,768000000.0,11251.939500036702,393005024.98715866,10468.912796903109
11,383999999.8351483,11251.939498426545,768000000.0,12274.84309094913,393005024.9580608,11515.804076312801
12,383999999.8038128,12274.84308885871,768000000.0,13297.746681861558,393005024.9261901,12562.695355642265
13,383999999.7697525,13297.746679203772,768000000.0,14320.650272773984,393005024.8915467,13609.586634884205
14,383999999.7329674,14320.65026945447,768000000.0,15343.553863686415,393005024.8541305,14656.477914031313
15,383999999.6934575,15343.553859603557,768000000.0,16366.457454598842,393005024.8139418,15703.3691930763
16,383999999.65122277,16366.457449643765,768000000.0,17389.361045511272,393005024.77098024,16750.260472011854
17,383999999.60626316,17389.361039567837,768000000.0,18412.264636423704,393005024.72524583,17797.15175083068
18,383999999.5585788,18412.26462936852,768000000.0,19435.168227336137,393005024.6767388,18844.04302952547
19,383999999.5081696,19435.168219038544,768000000.0,20458.071818248565,393005024.62545896,19890.93430808893
20,383999999.45503557,20458.07180857067,768000000.0,21480.975409160998,393005024.5714064,20937.82558651376
21,383999999.39917666,21480.97539795762,768000000.0,22503.879000073426,393005024.514581,21984.71686479265
22,383999999.340593,22503.87898719214,768000000.0,23526.782590985855,393005024.45498294,23031.60814291831
23,383999999.27928454,23526.78257626698,768000000.0,24549.68618189828,393005024.3926122,24078.499420883432
24,383999999.2152512,24549.68616517488,768000000.0,25572.589772810705,393005024.3274687,25125.390698680716
25,383999999.148493,25572.589753908574,768000000.0,26595.493363723137,393005024.2595522,26172.281976302856
26,383999999.07901007,26595.49334246081,768000000.0,27618.39695463557,393005024.1888632,27219.17325374256
27,383999999.00680226,27618.39693082432,768000000.0,28641.300545547994,393005024.1154013,28266.06453099252
28,383999998.9318697,28641.30051899186,768000000.0,29664.204136460423,393005024.03916687,29312.955808045448
29,383999998.8542122,29664.204106956164,768000000.0,30687.107727372848,393005023.96015954,30359.847084894027
30,383999998.77383,30687.10769470997,768000000.0,31710.011318285277,393005023.87837964,31406.738361530974
31,383999998.6907229,31710.01128224602,768000000.0,32732.91490919771,393005023.7938267,32453.62963794896
32,383999998.604891,32732.914869557066,768000000.0,33755.81850011013,393005023.70650125,33500.52091414071
33,383999998.5163343,33755.818456635854,768000000.0,34778.72209102256,393005023.616403,34547.41219009893
34,383999998.4250527,34778.7220434751,768000000.0,35801.62568193499,393005023.5235319,35594.30346581628
35,383999998.33104634,35801.62563006755,768000000.0,36824.529272847416,393005023.4278881,36641.194741285486
36,383999998.23431516,36824.52921640597,768000000.0,37847.43286375985,393005023.3294716,37688.08601649925
37,383999998.13485914,37847.4328024831,768000000.0,38870.33645467229,393005023.22828233,38734.97729145026
38,383999998.0326783,38870.33638829164,768000000.0,39893.240045584724,393005023.12432027,39781.86856613122
39,383999997.92777264,39893.23997382438,768000000.0,40916.143636497145,393005023.0175856,40828.75984053483
40,383999997.82014215,40916.14355907404,768000000.0,41939.047227409574,393005022.9080781,41875.65111465379
41,383999997.7097869,41939.04714403335,768000000.0,42961.95081832201,393005022.7957979,42922.5423884808
42,383999997.59670675,42961.95072869508,768000000.0,43984.854409234445,393005022.6807448,43969.43366200854
43,383999997.48090184,43984.85431305195,768000000.0,45007.75800014688,393005022.5629192,45016.324935229735
44,383999997.36237204,45007.75789709671,768000000.0,46030.661591059295,393005022.4423206,46063.21620813707
45,383999997.2411174,46030.6614808221,768000000.0,47053.56518197172,393005022.3189493,47110.10748072324
46,383999997.117138,47053.56506422086,768000000.0,48076.468772884145,393005022.1928054,48156.99875298097
47,383999996.9904338,48076.468647285736,768000000.0,49099.372363796574,393005022.0638887,49203.89002490294
48,383999996.8610047,49099.37223000946,768000000.0,50122.275954708995,393005021.9321991,50250.78129648183
49,383999996.72885084,50122.27581238479,768000000.0,51145.17954562143,393005021.79773694,51297.67256771038
50,383999996.59397215,51145.17939440444,768000000.0,52168.08313653386,393005021.660502,52344.56383858125
51,383999996.4563686,52168.08297606119,768000000.0,53190.986727446296,393005021.5204943,53391.455109087176
52,383999996.3160403,53190.98655734775,768000000.0,54213.89031835873,393005021.3777138,54438.34637922081
53,383999996.1729871,54213.89013825687,768000000.0,55236.79390927116,393005021.2321606,55485.2376489749
54,383999996.02720916,55236.79371878131,768000000.0,56259.697500183596,393005021.08383477,56532.12891834214
55,383999995.87870634,56259.69729891379,768000000.0,57282.601091096025,393005020.93273604,57579.02018731518
56,383999995.7274787,57282.600878647034,768000000.0,58305.50468200845,393005020.77886456,58625.91145588676
57,383999995.5735262,58305.504457973824,768000000.0,59328.40827292088,393005020.6222203,59672.80272404956
58,383999995.41684896,59328.408036886896,768000000.0,60351.31186383331,393005020.4628035,60719.69399179633
59,383999995.2574468,60351.31161537897,768000000.0,61374.21545474575,393005020.3006137,61766.58525911969
60,383999995.0953199,61374.2151934428,768000000.0,62397.119045658175,393005020.13565135,62813.476526012404
61,383999994.9304682,62397.11877107112,768000000.0,63420.022636570604,393005019.96791625,63860.36779246713
62,383999994.7628916,63420.02234825667,768000000.0,64442.926227483025,393005019.7974082,64907.259058476586
63,383999994.5925902,64442.92592499222,768000000.0,65465.829818395454,393005019.62412757,65954.15032403346
64,383999994.41956395,65465.82950127047,768000000.0,66488.73340930788,393005019.4480741,67001.04158913047
65,383999994.243813,66488.73307708418,768000000.0,67511.63700022032,393005019.26924807,68047.9328537603
66,383999994.0653371,67511.63665242611,768000000.0,68534.54059113274,393005019.08764917,69094.82411791566
67,383999993.8841364,68534.54022728899,768000000.0,69557.44418204518,393005018.9032773,70141.7153815892
68,383999993.70021087,69557.44380166553,768000000.0,70580.3477729576,393005018.7161329,71188.6066447737
69,383999993.5135606,70580.34737554852,768000000.0,71603.25136387003,393005018.5262159,72235.49790746183
70,383999993.32418543,71603.25094893067,768000000.0,72626.15495478245,393005018.33352596,73282.38916964625
71,383999993.13208544,72626.15452180474,768000000.0,73649.05854569488,393005018.1380633,74329.28043131971
72,383999992.9372606,73649.05809416344,768000000.0,74671.96213660731,393005017.93982786,75376.17169247485
73,383999992.73971105,74671.96166599955,768000000.0,75694.86572751973,393005017.7388198,76423.06295310444
74,383999992.53943664,75694.86523730581,768000000.0,76717.76931843215,393005017.53503895,77469.95421320114
75,383999992.33643734,76717.76880807492,768000000.0,77740.67290934458,393005017.3284853,78516.84547275765
76,383999992.1307133,77740.67237829966,768000000.0,78763.576500257,393005017.1191589,79563.73673176666
77,383999991.92226434,78763.57594797277,768000000.0,79786.48009116943,393005016.9070597,80610.62799022088
78,383999991.7110906,79786.47951708698,768000000.0,80809.38368208185,393005016.6921879,81657.51924811304
79,383999991.4971921,80809.38308563503,768000000.0,81832.28727299428,393005016.4745433,82704.41050543578
80,383999991.2805687,81832.28665360966,768000000.0,82855.1908639067,393005016.254126,83751.30176218184
81,383999991.0612205,82855.1902210036,768000000.0,83878.09445481912,393005016.0309359,84798.19301834393
82,383999990.8391475,83878.09378780963,768000000.0,84900.99804573155,393005015.804973,85845.08427391469
83,383999990.61434966,84900.99735402048,768000000.0,85923.90163664398,393005015.57623744,86891.97552888688
84,383999990.38682705,85923.90091962888,768000000.0,86946.80522755641,393005015.3447291,87938.86678325316
85,383999990.15657955,86946.80448462756,768000000.0,87969.70881846883,393005015.11044806,88985.75803700625
86,383999989.92360723,87969.70804900928,768000000.0,88992.61240938125,393005014.8733942,90032.64929013884
87,383999989.68791014,88992.61161276676,768000000.0,90015.51600029369,393005014.6335677,91079.54054264366
88,383999989.44948816,90015.51517589278,768000000.0,91038.41959120611,393005014.3909682,92126.43179451334
89,383999989.2083414,91038.41873838006,768000000.0,92061.32318211855,393005014.1455963,93173.32304574065
90,383999988.9644698,92061.32230022133,768000000.0,93084.22677303097,393005013.8974514,94220.21429631823
91,383999988.7178734,93084.22586140934,768000000.0,94107.1303639434,393005013.64653385,95267.10554623882
92,383999988.4685522,94107.12942193686,768000000.0,95130.03395485584,393005013.39284354,96313.99679549513
93,383999988.2165061,95130.03298179657,768000000.0,96152.93754576826,393005013.1363805,97360.88804407982
94,383999987.9617352,96152.93654098129,768000000.0,97175.84113668068,393005012.8771446,98407.77929198559
95,383999987.7042395,97175.84009948368,768000000.0,98198.74472759312,393005012.615136,99454.67053920518
96,383999987.444019,98198.74365729655,768000000.0,99221.64831850555,393005012.35035485,100501.56178573129
97,383999987.18107367,99221.64721441259,768000000.0,100244.55190941798,393005012.0828008,101548.45303155656
98,383999986.9154035,100244.55077082459,768000000.0,101267.45550033041,393005011.812474,102595.34427667371
99,383999986.6470085,101267.45432652524,768000000.0,102290.35909124285,393005011.5393745,103642.23552107548
100,383999986.37588865,102290.3578815073,768000000.0,103313.26268215527,393005011.2635021,104689.12676475449
101,383999986.10204405,103313.26143576353,768000000.0,104336.16627306769,393005010.9848572,105736.01800770353
102,383999985.8254746,104336.16498928667,768000000.0,105359.0698639801,393005010.70343953,106782.90924991529
103,383999985.5461803,105359.06854206944,768000000.0,106381.9734548925,393005010.41924894,107829.80049138237
104,383999985.2641612,106381.97209410463,768000000.0,107404.87704580494,393005010.1322857,108876.69173209759
105,383999984.97941726,107404.87564538488,768000000.0,108427.78063671736,393005009.8425496,109923.58297205354
106,383999984.69194853,108427.77919590304,768000000.0,109450.6842276298,393005009.5500409,110970.47421124301
107,383999984.401755,109450.68274565178,768000000.0,110473.58781854222,393005009.25475943,112017.36544965865
108,383999984.10883653,110473.58629462392,768000000.0,111496.49140945464,393005008.9567051,113064.25668729318
109,383999983.8131934,111496.4898428121,768000000.0,112519.39500036706,393005008.6558782,114111.14792413928
110,383999983.5148253,112519.39339020917,768000000.0,113542.29859127948,393005008.3522783,115158.03916018966
111,383999983.2137324,113542.29693680776,768000000.0,114565.2021821919,393005008.0459058,116204.93039543703
112,383999982.9099148,114565.20048260066,768000000.0,115588.10577310433,393005007.7367607,117251.82162987406
113,383999982.6033723,115588.10402758064,768000000.0,116611.00936401675,393005007.4248427,118298.71286349349
114,383999982.294105,116611.00757174043,768000000.0,117633.91295492917,393005007.11015207,119345.604096288
115,383999981.98211277,117633.91111507277,768000000.0,118656.81654584159,393005006.7926885,120392.49532825027
116,383999981.66739583,118656.81465757037,768000000.0,119679.72013675404,393005006.4724523,121439.38655937302
117,383999981.34995407,119679.718199226,768000000.0,120702.62372766648,393005006.1494434,122486.27778964893
118,383999981.0297874,120702.6217400324,768000000.0,121725.52731857891,393005005.82366157,123533.1690190707
119,383999980.706896,121725.52527998228,768000000.0,122748.43090949133,393005005.49510723,124580.06024763109
120,383999980.38127977,122748.42881906845,768000000.0,123771.33450040377,393005005.16378,125626.95147532271
121,383999980.05293864,123771.3323572836,768000000.0,124794.23809131619,393005004.82967997,126673.84270213831
122,383999979.72187275,124794.23589462048,768000000.0,125817.14168222861,393005004.49280727,127720.73392807056
123,383999979.388082,125817.1394310718,768000000.0,126840.04527314106,393005004.1531619,128767.6251531122
124,383999979.0515665,126840.04296663035,768000000.0,127862.9488640535,393005003.8107437,129814.5163772559
125,383999978.7123261,127862.9465012889,768000000.0,128885.85245496593,393005003.46555275,130861.40760049438
126,383999978.370361,128885.85003504012,768000000.0,129908.75604587837,393005003.1175892,131908.29882282033
127,383999978.0256709,129908.75356787677,768000000.0,130931.65963679079,393005002.76685256,132955.1900442264
128,383999977.6782561,130931.6570997916,768000000.0,131954.5632277032,393005002.4133435,134002.08126470537
129,383999977.3281164,131954.56063077739,768000000.0,132977.46681861568,393005002.05706155,135048.97248424988
130,383999976.9752519,132977.46416082678,768000000.0,134000.37040952808,393005001.6980068,136095.86370285263
131,383999976.61966264,134000.36768993264,768000000.0,135023.2740004405,393005001.3361795,137142.75492050638
132,383999976.2613485,135023.2712180876,768000000.0,136046.1775913529,393005000.97157925,138189.64613720376
133,383999975.90030956,136046.1747452845,768000000.0,137069.0811822653,393005000.6042064,139236.53735293754
