Time (days),Moon X Position (m),Moon Y Position (m),Moonlet X Position (m),Moonlet Y Position (m),L5 X Position (m),L5 Y Position (m)
20,383999999.45503557,20458.07180857067,768000000.0,21480.975409160998,643600079740.2279,34288585.06774336
21,383999999.39917666,21480.97539795762,768000000.0,22503.879000073426,643600079671.1385,36003014.32075714
22,383999999.340593,22503.87898719214,768000000.0,23526.782590985855,643600079598.6234,37717443.57371302
23,383999999.27928454,23526.78257626698,768000000.0,24549.68618189828,643600079522.6825,39431872.82660796
24,383999999.2152512,24549.68616517488,768000000.0,25572.589772810705,643600079443.3154,41146302.07943888
25,383999999.148493,25572.589753908574,768000000.0,26595.493363723137,643600079360.5228,42860731.33220277
26,383999999.07901007,26595.49334246081,768000000.0,27618.39695463557,643600079274.3042,44575160.58489655
27,383999999.00680226,27618.39693082432,768000000.0,28641.300545547994,643600079184.6598,46289589.83751721
28,383999998.9318697,28641.30051899186,768000000.0,29664.204136460423,643600079091.5894,48004019.09006168
29,383999998.8542122,29664.204106956164,768000000.0,30687.107727372848,643600078995.0934,49718448.34252693
30,383999998.77383,30687.10769470997,768000000.0,31710.011318285277,643600078895.1711,51432877.594909884
31,383999998.6907229,31710.01128224602,768000000.0,32732.91490919771,643600078791.8231,53147306.84720752
32,383999998.604891,32732.914869557066,768000000.0,33755.81850011013,643600078685.0494,54861736.09941678
33,383999998.5163343,33755.818456635854,768000000.0,34778.72209102256,643600078574.8499,56576165.351534635
34,383999998.4250527,34778.7220434751,768000000.0,35801.62568193499,643600078461.2242,58290594.603558026
35,383999998.33104634,35801.62563006755,768000000.0,36824.529272847416,643600078344.1729,60005023.85548389
36,383999998.23431516,36824.52921640597,768000000.0,37847.43286375985,643600078223.6956,61719453.1073092
37,383999998.13485914,37847.4328024831,768000000.0,38870.33645467229,643600078099.7925,63433882.35903091
38,383999998.0326783,38870.33638829164,768000000.0,39893.240045584724,643600077972.4634,65148311.61064595
39,383999997.92777264,39893.23997382438,768000000.0,40916.143636497145,643600077841.7084,66862740.86215131
40,383999997.82014215,40916.14355907404,768000000.0,41939.047227409574,643600077707.5277,68577170.11354391
41,383999997.7097869,41939.04714403335,768000000.0,42961.95081832201,643600077569.9213,70291599.36482076
42,383999997.59670675,42961.95072869508,768000000.0,43984.854409234445,643600077428.8887,72006028.61597873
43,383999997.48090184,43984.85431305195,768000000.0,45007.75800014688,643600077284.4304,73720457.86701481
44,383999997.36237204,45007.75789709671,768000000.0,46030.661591059295,643600077136.546,75434887.11792596
45,383999997.2411174,46030.6614808221,768000000.0,47053.56518197172,643600076985.2358,77149316.36870915
46,383999997.117138,47053.56506422086,768000000.0,48076.468772884145,643600076830.5,78863745.6193613
47,383999996.9904338,48076.468647285736,768000000.0,49099.372363796574,643600076672.3383,80578174.86987938
48,383999996.8610047,49099.37223000946,768000000.0,50122.275954708995,643600076510.7504,82292604.12026033
49,383999996.72885084,50122.27581238479,768000000.0,51145.17954562143,643600076345.7369,84007033.37050113
50,383999996.59397215,51145.17939440444,768000000.0,52168.08313653386,643600076177.2975,85721462.62059869
51,383999996.4563686,52168.08297606119,768000000.0,53190.986727446296,643600076005.4321,87435891.87055
52,383999996.3160403,53190.98655734775,768000000.0,54213.89031835873,643600075830.1409,89150321.12035201
53,383999996.1729871,54213.89013825687,768000000.0,55236.79390927116,643600075651.4238,90864750.37000166
54,383999996.02720916,55236.79371878131,768000000.0,56259.697500183596,643600075469.281,92579179.61949593
55,383999995.87870634,56259.69729891379,768000000.0,57282.601091096025,643600075283.7122,94293608.86883171
56,383999995.7274787,57282.600878647034,768000000.0,58305.50468200845,643600075094.7177,96008038.11800602
57,383999995.5735262,58305.504457973824,768000000.0,59328.40827292088,643600074902.2971,97722467.36701581
58,383999995.41684896,59328.408036886896,768000000.0,60351.31186383331,643600074706.4507,99436896.61585799
59,383999995.2574468,60351.31161537897,768000000.0,61374.21545474575,643600074507.1785,101151325.86452955
60,383999995.0953199,61374.2151934428,768000000.0,62397.119045658175,643600074304.4803,102865755.1130274
61,383999994.9304682,62397.11877107112,768000000.0,63420.022636570604,643600074098.3563,104580184.36134852
62,383999994.7628916,63420.02234825667,768000000.0,64442.926227483025,643600073888.8065,106294613.6094899
63,383999994.5925902,64442.92592499222,768000000.0,65465.829818395454,643600073675.8306,108009042.85744841
64,383999994.41956395,65465.82950127047,768000000.0,66488.73340930788,643600073459.429,109723472.10522108
65,383999994.243813,66488.73307708418,768000000.0,67511.63700022032,643600073239.6017,111437901.35280484
66,383999994.0653371,67511.63665242611,768000000.0,68534.54059113274,643600073016.3483,113152330.60019663
67,383999993.8841364,68534.54022728899,768000000.0,69557.44418204518,643600072789.6691,114866759.84739342
68,383999993.70021087,69557.44380166553,768000000.0,70580.3477729576,643600072559.564,116581189.09439214
69,383999993.5135606,70580.34737554852,768000000.0,71603.25136387003,643600072326.0331,118295618.34118976
70,383999993.32418543,71603.25094893067,768000000.0,72626.15495478245,643600072089.0763,120010047.58778323
71,383999993.13208544,72626.15452180474,768000000.0,73649.05854569488,643600071848.6936,121724476.83416952
72,383999992.9372606,73649.05809416344,768000000.0,74671.96213660731,643600071604.8851,123438906.08034553
73,383999992.73971105,74671.96166599955,768000000.0,75694.86572751973,643600071357.6508,125153335.3263083
74,383999992.53943664,75694.86523730581,768000000.0,76717.76931843215,643600071106.9904,126867764.57205467
75,383999992.33643734,76717.76880807492,768000000.0,77740.67290934458,643600070852.9043,128582193.81758171
76,383999992.1307133,77740.67237829966,768000000.0,78763.576500257,643600070595.3922,130296623.06288628
77,383999991.92226434,78763.57594797277,768000000.0,79786.48009116943,643600070334.4542,132011052.30796538
78,383999991.7110906,79786.47951708698,768000000.0,80809.38368208185,643600070070.0906,133725481.552816
79,383999991.4971921,80809.38308563503,768000000.0,81832.28727299428,643600069802.301,135439910.79743502
80,383999991.2805687,81832.28665360966,768000000.0,82855.1908639067,643600069531.0854,137154340.04181942
81,383999991.0612205,82855.1902210036,768000000.0,83878.09445481912,643600069256.4442,138868769.28596616
82,383999990.8391475,83878.09378780963,768000000.0,84900.99804573155,643600068978.3768,140583198.52987218
83,383999990.61434966,84900.99735402048,768000000.0,85923.90163664398,643600068696.8838,142297627.77353442
84,383999990.38682705,85923.90091962888,768000000.0,86946.80522755641,643600068411.9648,144012057.0169499
85,383999990.15657955,86946.80448462756,768000000.0,87969.70881846883,643600068123.62,145726486.2601155
86,383999989.92360723,87969.70804900928,768000000.0,88992.61240938125,643600067831.8494,147440915.5030282
87,383999989.68791014,88992.61161276676,768000000.0,90015.51600029369,643600067536.6527,149155344.74568498
