Time (days),Moon X Position (m),Moon Y Position (m),Moonlet X Position (m),Moonlet Y Position (m),L4 X Position (m),L4 Y Position (m)
0,384000000.0,0.0,768000000.0,0.0,3408080402.0100503,5902968412.561171
1,383999999.9986376,1022.9035909112177,768000000.0,0.0,3408064677.603203,5902977491.023772
2,383999999.99455035,2045.8071818151773,768000000.0,0.0,3408048953.1721725,5902986569.444487
3,383999999.9877383,3068.71077270462,768000000.0,0.0,3408033228.7169576,5902995647.823316
4,383999999.9782014,4091.614363572287,768000000.0,0.0,3408017504.237561,5903004726.160255
5,383999999.96593976,5114.517954410921,768000000.0,0.0,3408001779.733981,5903013804.45531
6,383999999.9509532,6137.421545213263,768000000.0,0.0,3407986055.206219,5903022882.708476
7,383999999.93324184,7160.325135972053,768000000.0,0.0,3407970330.6542735,5903031960.919756
8,383999999.9128057,8183.228726680036,768000000.0,0.0,3407954606.078146,5903041039.089148
9,383999999.88964474,9206.13231732995,768000000.0,0.0,3407938881.477835,5903050117.216652
10,383999999.8637589,10229.03590791454,768000000.0,0.0,3407923156.8533416,5903059195.30227
11,383999999.8351483,11251.939498426545,768000000.0,0.0,3407907432.2046666,5903068273.346
12,383999999.8038128,12274.84308885871,768000000.0,0.0,3407891707.5318093,5903077351.347842
13,383999999.7697525,13297.746679203772,768000000.0,0.0,3407875982.8347707,5903086429.307797
14,383999999.7329674,14320.65026945447,768000000.0,0.0,3407860258.1135488,5903095507.225864
15,383999999.6934575,15343.553859603557,768000000.0,0.0,3407844533.368147,5903104585.102044
16,383999999.65122277,16366.457449643765,768000000.0,0.0,3407828808.598562,5903113662.936336
17,383999999.60626316,17389.361039567837,768000000.0,0.0,3407813083.804796,5903122740.728739
18,383999999.5585788,18412.26462936852,768000000.0,0.0,3407797358.9868474,5903131818.479255
19,383999999.5081696,19435.168219038544,768000000.0,0.0,3407781634.1447177,5903140896.187883
20,383999999.45503557,20458.07180857067,768000000.0,0.0,3407765909.2784085,5903149973.854623
21,383999999.39917666,21480.97539795762,768000000.0,0.0,3407750184.3879166,5903159051.479475
22,383999999.340593,22503.87898719214,768000000.0,0.0,3407734459.4732447,5903168129.062438
23,383999999.27928454,23526.78257626698,768000000.0,0.0,3407718734.5343904,5903177206.603514
24,383999999.2152512,24549.68616517488,768000000.0,0.0,3407703009.5713573,5903186284.102701
25,383999999.148493,25572.589753908574,768000000.0,0.0,3407687284.5841417,5903195361.559999
26,383999999.07901007,26595.49334246081,768000000.0,0.0,3407671559.572747,5903204438.975409
27,383999999.00680226,27618.39693082432,768000000.0,0.0,3407655834.5371704,5903213516.34893
28,383999998.9318697,28641.30051899186,768000000.0,0.0,3407640109.4774137,5903222593.680564
29,383999998.8542122,29664.204106956164,768000000.0,0.0,3407624384.3934774,5903231670.970308
30,383999998.77383,30687.10769470997,768000000.0,0.0,3407608659.2853603,5903240748.218165
31,383999998.6907229,31710.01128224602,768000000.0,0.0,3407592934.1530643,5903249825.424131
32,383999998.604891,32732.914869557066,768000000.0,0.0,3407577208.9965878,5903258902.588211
33,383999998.5163343,33755.818456635854,768000000.0,0.0,3407561483.815932,5903267979.7104
34,383999998.4250527,34778.7220434751,768000000.0,0.0,3407545758.611095,5903277056.790699
35,383999998.33104634,35801.62563006755,768000000.0,0.0,3407530033.38208,5903286133.829111
36,383999998.23431516,36824.52921640597,768000000.0,0.0,3407514308.1288843,5903295210.825634
37,383999998.13485914,37847.4328024831,768000000.0,0.0,3407498582.851509,5903304287.780267
38,383999998.0326783,38870.33638829164,768000000.0,0.0,3407482857.5499563,5903313364.69301
39,383999997.92777264,39893.23997382438,768000000.0,0.0,3407467132.224223,5903322441.563866
40,383999997.82014215,40916.14355907404,768000000.0,0.0,3407451406.874312,5903331518.392832
41,383999997.7097869,41939.04714403335,768000000.0,0.0,3407435681.5002203,5903340595.179907
42,383999997.59670675,42961.95072869508,768000000.0,0.0,3407419956.1019516,5903349671.925094
43,383999997.48090184,43984.85431305195,768000000.0,0.0,3407404230.6795025,5903358748.62839
44,383999997.36237204,45007.75789709671,768000000.0,0.0,3407388505.232877,5903367825.289797
45,383999997.2411174,46030.6614808221,768000000.0,0.0,3407372779.7620707,5903376901.909315
46,383999997.117138,47053.56506422086,768000000.0,0.0,3407357054.267087,5903385978.486943
47,383999996.9904338,48076.468647285736,768000000.0,0.0,3407341328.7479258,5903395055.022682
48,383999996.8610047,49099.37223000946,768000000.0,0.0,3407325603.2045846,5903404131.516531
49,383999996.72885084,50122.27581238479,768000000.0,0.0,3407309877.6370673,5903413207.968489
50,383999996.59397215,51145.17939440444,768000000.0,0.0,3407294152.045371,5903422284.378558
