Time (days),Moon X Position (m),Moon Y Position (m),Moonlet X Position (m),Moonlet Y Position (m),L4 X Position (m),L4 Y Position (m)
0,384000000.0,0.0,768000000.0,1.3589951442461615e-09,192000000.32160807,332553755.6102659
1,383999999.9986376,1022.9035909112177,768000000.0,2.497498951996501e-09,191999114.46043003,332554267.06088233
2,383999999.99455035,2045.8071818151773,768000000.0,2.49749895199177e-09,191998228.59788957,332554778.50913894
3,383999999.9877383,3068.71077270462,768000000.0,2.49749895199177e-09,191997342.73398674,332555289.95503587
4,383999999.9782014,4091.614363572287,768000000.0,2.49749895199177e-09,191996456.8687215,332555801.39857286
5,383999999.96593976,5114.517954410921,768000000.0,2.49749895199177e-09,191995571.00209388,332556312.8397504
6,383999999.9509532,6137.421545213263,768000000.0,2.49749895199177e-09,191994685.13410386,332556824.2785678
7,383999999.93324184,7160.325135972053,768000000.0,2.49749895199177e-09,191993799.26475152,332557335.71502566
8,383999999.9128057,8183.228726680036,768000000.0,2.49749895199177e-09,191992913.3940368,332557847.14912355
9,383999999.88964474,9206.13231732995,768000000.0,2.49749895199177e-09,191992027.5219597,332558358.5808618
10,383999999.8637589,10229.03590791454,768000000.0,2.49749895199177e-09,191991141.6485202,332558870.01024026
11,383999999.8351483,11251.939498426545,768000000.0,2.49749895199177e-09,191990255.77371842,332559381.4372588
12,383999999.8038128,12274.84308885871,768000000.0,2.49749895199177e-09,191989369.89755422,332559892.8619175
13,383999999.7697525,13297.746679203772,768000000.0,2.49749895199177e-09,191988484.0200278,332560404.28421646
14,383999999.7329674,14320.65026945447,768000000.0,2.49749895199177e-09,191987598.14113888,332560915.7041555
15,383999999.6934575,15343.553859603557,768000000.0,2.49749895199177e-09,191986712.26088783,332561427.121735
16,383999999.65122277,16366.457449643765,768000000.0,2.49749895199177e-09,191985826.37927434,332561938.53695446
17,383999999.60626316,17389.361039567837,768000000.0,2.49749895199177e-09,191984940.49629864,332562449.9498141
18,383999999.5585788,18412.26462936852,768000000.0,2.49749895199177e-09,191984054.61196053,332562961.360314
19,383999999.5081696,19435.168219038544,768000000.0,2.49749895199177e-09,191983168.72626013,332563472.7684541
20,383999999.45503557,20458.07180857067,768000000.0,2.49749895199177e-09,191982282.83919755,332563984.1742343
21,383999999.39917666,21480.97539795762,768000000.0,2.49749895199177e-09,191981396.95077255,332564495.5776546
22,383999999.340593,22503.87898719214,768000000.0,2.49749895199177e-09,191980511.06098536,332565006.9787151
23,383999999.27928454,23526.78257626698,768000000.0,2.49749895199177e-09,191979625.16983584,332565518.3774159
24,383999999.2152512,24549.68616517488,768000000.0,2.49749895199177e-09,191978739.2773241,332566029.7737567
25,383999999.148493,25572.589753908574,768000000.0,2.49749895199177e-09,191977853.38345,332566541.16773754
26,383999999.07901007,26595.49334246081,768000000.0,2.49749895199177e-09,191976967.4882138,332567052.5593587
27,383999999.00680226,27618.39693082432,768000000.0,2.49749895199177e-09,191976081.59161523,332567563.9486199
28,383999998.9318697,28641.30051899186,768000000.0,2.49749895199177e-09,191975195.69365445,332568075.33552134
29,383999998.8542122,29664.204106956164,768000000.0,2.49749895199177e-09,191974309.79433146,332568586.72006285
30,383999998.77383,30687.10769470997,768000000.0,2.49749895199177e-09,191973423.89364624,332569098.1022446
31,383999998.6907229,31710.01128224602,768000000.0,2.49749895199177e-09,191972537.9915988,332569609.4820663
32,383999998.604891,32732.914869557066,768000000.0,2.49749895199177e-09,191971652.08818913,332570120.85952824
33,383999998.5163343,33755.818456635854,768000000.0,2.49749895199177e-09,191970766.1834173,332570632.2346302
34,383999998.4250527,34778.7220434751,768000000.0,2.49749895199177e-09,191969880.27728316,332571143.6073724
35,383999998.33104634,35801.62563006755,768000000.0,2.49749895199177e-09,191968994.3697869,332571654.9777546
36,383999998.23431516,36824.52921640597,768000000.0,2.49749895199177e-09,191968108.46092844,332572166.345777
37,383999998.13485914,37847.4328024831,768000000.0,2.49749895199177e-09,191967222.55070773,332572677.7114395
38,383999998.0326783,38870.33638829164,768000000.0,2.49749895199177e-09,191966336.63912493,332573189.07474196
39,383999997.92777264,39893.23997382438,768000000.0,2.49749895199177e-09,191965450.7261799,332573700.4356847
40,383999997.82014215,40916.14355907404,768000000.0,2.49749895199177e-09,191964564.81187275,332574211.7942675
41,383999997.7097869,41939.04714403335,768000000.0,2.49749895199177e-09,191963678.89620346,332574723.1504903
42,383999997.59670675,42961.95072869508,768000000.0,2.49749895199177e-09,191962792.97917196,332575234.5043532
43,383999997.48090184,43984.85431305195,768000000.0,2.49749895199177e-09,191961907.06077832,332575745.8558563
44,383999997.36237204,45007.75789709671,768000000.0,2.49749895199177e-09,191961021.14102256,332576257.20499927
45,383999997.2411174,46030.6614808221,768000000.0,2.49749895199177e-09,191960135.21990457,332576768.5517824
46,383999997.117138,47053.56506422086,768000000.0,2.49749895199177e-09,191959249.29742455,332577279.89620566
47,383999996.9904338,48076.468647285736,768000000.0,2.49749895199177e-09,191958363.37358248,332577791.23826903
48,383999996.8610047,49099.37223000946,768000000.0,2.49749895199177e-09,191957477.4483781,332578302.57797235
49,383999996.72885084,50122.27581238479,768000000.0,2.49749895199177e-09,191956591.52181178,332578813.91531575
50,383999996.59397215,51145.17939440444,768000000.0,2.49749895199177e-09,191955705.59388328,332579325.25029933
51,383999996.4563686,52168.08297606119,768000000.0,2.49749895199177e-09,191954819.66459274,332579836.5829228
52,383999996.3160403,53190.98655734775,768000000.0,2.49749895199177e-09,191953933.73394004,332580347.9131864
53,383999996.1729871,54213.89013825687,768000000.0,2.49749895199177e-09,191953047.8019253,332580859.24109
54,383999996.02720916,55236.79371878131,768000000.0,2.49749895199177e-09,191952161.86854845,332581370.56663376
55,383999995.87870634,56259.69729891379,768000000.0,2.49749895199177e-09,191951275.93380955,332581881.8898175
56,383999995.7274787,57282.600878647034,768000000.0,2.49749895199177e-09,191950389.9977086,332582393.21064115
57,383999995.5735262,58305.504457973824,768000000.0,2.49749895199177e-09,191949504.06024548,332582904.5291049
58,383999995.41684896,59328.408036886896,768000000.0,2.49749895199177e-09,191948618.1214205,332583415.8452088
59,383999995.2574468,60351.31161537897,768000000.0,2.49749895199177e-09,191947732.1812333,332583927.1589526
60,383999995.0953199,61374.2151934428,768000000.0,2.49749895199177e-09,191946846.23968422,332584438.47033644
61,383999994.9304682,62397.11877107112,768000000.0,2.49749895199177e-09,191945960.29677296,332584949.7793604
62,383999994.7628916,63420.02234825667,768000000.0,2.49749895199177e-09,191945074.35249972,332585461.08602417
63,383999994.5925902,64442.92592499222,768000000.0,2.49749895199177e-09,191944188.40686443,332585972.3903281
64,383999994.41956395,65465.82950127047,768000000.0,2.49749895199177e-09,191943302.45986712,332586483.692272
65,383999994.243813,66488.73307708418,768000000.0,2.49749895199177e-09,191942416.51150793,332586994.9918559
66,383999994.0653371,67511.63665242611,768000000.0,2.49749895199177e-09,191941530.56178662,332587506.28907984
67,383999993.8841364,68534.54022728899,768000000.0,2.49749895199177e-09,191940644.61070332,332588017.5839436
68,383999993.70021087,69557.44380166553,768000000.0,2.49749895199177e-09,191939758.65825802,332588528.8764475
69,383999993.5135606,70580.34737554852,768000000.0,2.49749895199177e-09,191938872.70445088,332589040.1665915
70,383999993.32418543,71603.25094893067,768000000.0,2.49749895199177e-09,191937986.7492816,332589551.45437527
71,383999993.13208544,72626.15452180474,768000000.0,2.49749895199177e-09,191937100.79275042,332590062.7397991
72,383999992.9372606,73649.05809416344,768000000.0,2.49749895199177e-09,191936214.8348572,332590574.0228629
73,383999992.73971105,74671.96166599955,768000000.0,2.49749895199177e-09,191935328.87560207,332591085.30356675
74,383999992.53943664,75694.86523730581,768000000.0,2.49749895199177e-09,191934442.91498503,332591596.5819105
75,383999992.33643734,76717.76880807492,768000000.0,2.49749895199177e-09,191933556.953006,332592107.8578943
76,383999992.1307133,77740.67237829966,768000000.0,2.49749895199177e-09,191932670.98966506,332592619.1315179
77,383999991.92226434,78763.57594797277,768000000.0,2.49749895199177e-09,191931785.0249621,332593130.40278155
78,383999991.7110906,79786.47951708698,768000000.0,2.49749895199177e-09,191930899.05889732,332593641.6716851
79,383999991.4971921,80809.38308563503,768000000.0,2.49749895199177e-09,191930013.09147054,332594152.93822867
80,383999991.2805687,81832.28665360966,768000000.0,2.49749895199177e-09,191929127.12268198,332594664.2024122
81,383999991.0612205,82855.1902210036,768000000.0,2.49749895199177e-09,191928241.1525314,332595175.46423566
82,383999990.8391475,83878.09378780963,768000000.0,2.49749895199177e-09,191927355.18101886,332595686.7236991
83,383999990.61434966,84900.99735402048,768000000.0,2.49749895199177e-09,191926469.20814455,332596197.9808024
84,383999990.38682705,85923.90091962888,768000000.0,2.49749895199177e-09,191925583.23390824,332596709.23554564
85,383999990.15657955,86946.80448462756,768000000.0,2.49749895199177e-09,191924697.25831017,332597220.4879288
86,383999989.92360723,87969.70804900928,768000000.0,2.49749895199177e-09,191923811.2813501,332597731.737952
87,383999989.68791014,88992.61161276676,768000000.0,2.49749895199177e-09,191922925.30302832,332598242.985615
88,383999989.44948816,90015.51517589278,768000000.0,2.49749895199177e-09,191922039.32334447,332598754.2309179
89,383999989.2083414,91038.41873838006,768000000.0,2.49749895199177e-09,191921153.34229895,332599265.47386086
90,383999988.9644698,92061.32230022133,768000000.0,2.49749895199177e-09,191920267.35989144,332599776.71444356
91,383999988.7178734,93084.22586140934,768000000.0,2.49749895199177e-09,191919381.37612212,332600287.95266634
92,383999988.4685522,94107.12942193686,768000000.0,2.49749895199177e-09,191918495.390991,332600799.1885289
93,383999988.2165061,95130.03298179657,768000000.0,2.49749895199177e-09,191917609.404498,332601310.4220314
94,383999987.9617352,96152.93654098129,768000000.0,2.49749895199177e-09,191916723.41664323,332601821.65317374
95,383999987.7042395,97175.84009948368,768000000.0,2.49749895199177e-09,191915837.42742658,332602332.881956
96,383999987.444019,98198.74365729655,768000000.0,2.49749895199177e-09,191914951.4368482,332602844.10837823
97,383999987.18107367,99221.64721441259,768000000.0,2.49749895199177e-09,191914065.44490793,332603355.3324403
98,383999986.9154035,100244.55077082459,768000000.0,2.49749895199177e-09,191913179.45160592,332603866.5541422
99,383999986.6470085,101267.45432652524,768000000.0,2.49749895199177e-09,191912293.45694205,332604377.7734841
100,383999986.37588865,102290.3578815073,768000000.0,2.49749895199177e-09,191911407.46091637,332604888.99046576
101,383999986.10204405,103313.26143576353,768000000.0,2.49749895199177e-09,191910521.46352902,332605400.2050873
102,383999985.8254746,104336.16498928667,768000000.0,2.49749895199177e-09,191909635.46477982,332605911.41734886
103,383999985.5461803,105359.06854206944,768000000.0,2.49749895199177e-09,191908749.46466887,332606422.6272501
104,383999985.2641612,106381.97209410463,768000000.0,2.49749895199177e-09,191907863.4631962,332606933.8347913
105,383999984.97941726,107404.87564538488,768000000.0,2.49749895199177e-09,191906977.46036172,332607445.03997225
106,383999984.69194853,108427.77919590304,768000000.0,2.49749895199177e-09,191906091.45616543,332607956.24279314
107,383999984.401755,109450.68274565178,768000000.0,2.49749895199177e-09,191905205.45060754,332608467.44325393
108,383999984.10883653,110473.58629462392,768000000.0,2.49749895199177e-09,191904319.44368777,332608978.64135444
109,383999983.8131934,111496.4898428121,768000000.0,2.49749895199177e-09,191903433.4354063,332609489.8370949
110,383999983.5148253,112519.39339020917,768000000.0,2.49749895199177e-09,191902547.42576313,332610001.0304751
111,383999983.2137324,113542.29693680776,768000000.0,2.49749895199177e-09,191901661.4147582,332610512.2214952
112,383999982.9099148,114565.20048260066,768000000.0,2.49749895199177e-09,191900775.40239167,332611023.4101551
113,383999982.6033723,115588.10402758064,768000000.0,2.49749895199177e-09,191899889.38866332,332611534.5964549
114,383999982.294105,116611.00757174043,768000000.0,2.49749895199177e-09,191899003.3735734,332612045.7803945
115,383999981.98211277,117633.91111507277,768000000.0,2.49749895199177e-09,191898117.35712165,332612556.96197385
116,383999981.66739583,118656.81465757037,768000000.0,2.49749895199177e-09,191897231.3393083,332613068.1411931
117,383999981.34995407,119679.718199226,768000000.0,2.49749895199177e-09,191896345.32013318,332613579.3180522
118,383999981.0297874,120702.6217400324,768000000.0,2.49749895199177e-09,191895459.29959643,332614090.4925509
119,383999980.706896,121725.52527998228,768000000.0,2.49749895199177e-09,191894573.27769804,332614601.66468966
120,383999980.38127977,122748.42881906845,768000000.0,2.49749895199177e-09,191893687.2544379,332615112.83446807
121,383999980.05293864,123771.3323572836,768000000.0,2.49749895199177e-09,191892801.2298162,332615624.0018863
122,383999979.72187275,124794.23589462048,768000000.0,2.49749895199177e-09,191891915.20383278,332616135.1669444
123,383999979.388082,125817.1394310718,768000000.0,2.49749895199177e-09,191891029.17648777,332616646.3296422
124,383999979.0515665,126840.04296663035,768000000.0,2.49749895199177e-09,191890143.14778107,332617157.48997986
125,383999978.7123261,127862.9465012889,768000000.0,2.49749895199177e-09,191889257.11771283,332617668.6479572
126,383999978.370361,128885.85003504012,768000000.0,2.49749895199177e-09,191888371.08628288,332618179.80357444
127,383999978.0256709,129908.75356787677,768000000.0,2.49749895199177e-09,191887485.05349132,332618690.95683134
128,383999977.6782561,130931.6570997916,768000000.0,2.49749895199177e-09,191886599.01933816,332619202.1077281
129,383999977.3281164,131954.56063077739,768000000.0,2.49749895199177e-09,191885712.9838234,332619713.2562647
130,383999976.9752519,132977.46416082678,768000000.0,2.49749895199177e-09,191884826.946947,332620224.40244085
131,383999976.61966264,134000.36768993264,768000000.0,2.49749895199177e-09,191883940.90870905,332620735.54625696
132,383999976.2613485,135023.2712180876,768000000.0,2.49749895199177e-09,191883054.8691095,332621246.6877127
133,383999975.90030956,136046.1747452845,768000000.0,2.49749895199177e-09,191882168.82814837,332621757.8268083
134,383999975.5365458,137069.078271516,768000000.0,2.49749895199177e-09,191881282.78582573,332622268.9635436
135,383999975.17005724,138091.98179677487,768000000.0,2.49749895199177e-09,191880396.7421414,332622780.0979187
136,383999974.80084383,139114.88532105385,768000000.0,2.49749895199177e-09,191879510.69709563,332623291.2299335
137,383999974.42890555,140137.7888443457,768000000.0,2.49749895199177e-09,191878624.65068817,332623802.35958797
138,383999974.05424255,141160.69236664314,768000000.0,2.49749895199177e-09,191877738.6029192,332624313.4868823
139,383999973.67685467,142183.59588793892,768000000.0,2.49749895199177e-09,191876852.5537888,332624824.61181635
140,383999973.29674196,143206.49940822576,768000000.0,2.49749895199177e-09,191875966.5032967,332625335.7343901
141,383999972.9139044,144229.40292749647,768000000.0,2.49749895199177e-09,191875080.4514432,332625846.8546035
142,383999972.52834207,145252.3064457437,768000000.0,2.49749895199177e-09,191874194.39822805,332626357.97245663
143,383999972.1400549,146275.20996296027,768000000.0,2.49749895199177e-09,191873308.34365147,332626869.0879496
144,383999971.7490429,147298.11347913888,768000000.0,2.49749895199177e-09,191872422.28771338,332627380.2010823
145,383999971.35530615,148321.01699427224,768000000.0,2.49749895199177e-09,191871536.23041385,332627891.3118546
146,383999970.9588445,149343.92050835319,768000000.0,2.49749895199177e-09,191870650.17175266,332628402.4202667
147,383999970.55965805,150366.82402137437,768000000.0,2.49749895199177e-09,191869764.11173,332628913.52631843
148,383999970.15774673,151389.72753332858,768000000.0,2.49749895199177e-09,191868878.05034593,332629424.6300098
149,383999969.75311065,152412.63104420854,768000000.0,2.49749895199177e-09,191867991.9876004,332629935.73134106
150,383999969.34574974,153435.534554007,768000000.0,2.49749895199177e-09,191867105.92349336,332630446.8303119
151,383999968.935664,154458.43806271668,768000000.0,2.49749895199177e-09,191866219.8580248,332630957.92692244
152,383999968.52285343,155481.34157033035,768000000.0,2.49749895199177e-09,191865333.79119486,332631469.02117264
153,383999968.10731804,156504.24507684077,768000000.0,2.49749895199177e-09,191864447.72300336,332631980.11306256
154,383999967.6890578,157527.14858224062,768000000.0,2.49749895199177e-09,191863561.65345052,332632491.20259213
155,383999967.2680728,158550.0520865227,768000000.0,2.49749895199177e-09,191862675.58253616,332633002.28976136
156,383999966.844363,159572.95558967968,768000000.0,2.49749895199177e-09,191861789.5102604,332633513.37457037
157,383999966.4179283,160595.85909170436,768000000.0,2.49749895199177e-09,191860903.43662322,332634024.457019
158,383999965.9887688,161618.7625925895,768000000.0,2.49749895199177e-09,191860017.3616246,332634535.5371073
159,383999965.55688447,162641.6660923278,768000000.0,2.49749895199177e-09,191859131.28526458,332635046.61483514
160,383999965.1222753,163664.56959091203,768000000.0,2.49749895199177e-09,191858245.20754308,332635557.6902027
161,383999964.68494135,164687.47308833487,768000000.0,2.49749895199177e-09,191857359.1284603,332636068.76320994
162,383999964.2448826,165710.37658458916,768000000.0,2.49749895199177e-09,191856473.04801598,332636579.83385694
163,383999963.802099,166733.28007966751,768000000.0,2.49749895199177e-09,191855586.96621042,332637090.9021435
164,383999963.35659057,167756.1835735628,768000000.0,2.49749895199177e-09,191854700.88304338,332637601.9680697
165,383999962.9083573,168779.0870662677,768000000.0,2.49749895199177e-09,191853814.79851493,332638113.0316355
166,383999962.4573992,169801.990557775,768000000.0,2.49749895199177e-09,191852928.71262515,332638624.0928409
167,383999962.00371635,170824.89404807735,768000000.0,2.49749895199177e-09,191852042.62537396,332639135.1516861
168,383999961.5473086,171847.79753716753,768000000.0,2.49749895199177e-09,191851156.5367615,332639646.2081707
169,383999961.0881761,172870.70102503832,768000000.0,2.49749895199177e-09,191850270.4467876,332640157.26229507
170,383999960.6263187,173893.60451168244,768000000.0,2.49749895199177e-09,191849384.35545242,332640668.314059
171,383999960.1617365,174916.50799709262,768000000.0,2.49749895199177e-09,191848498.26275578,332641179.3634626
172,383999959.6944295,175939.41148126163,768000000.0,2.49749895199177e-09,191847612.16869795,332641690.41050583
173,383999959.22439766,176962.31496418215,768000000.0,2.49749895199177e-09,191846726.0732787,332642201.4551887
174,383999958.75164104,177985.21844584701,768000000.0,2.49749895199177e-09,191845839.97649813,332642712.4975111
175,383999958.2761596,179008.12192624892,768000000.0,2.49749895199177e-09,191844953.87835628,332643223.5374731
176,383999957.79795325,180031.02540538055,768000000.0,2.49749895199177e-09,191844067.7788531,332643734.57507473
177,383999957.31702214,181053.92888323477,768000000.0,2.49749895199177e-09,191843181.6779886,332644245.6103159
178,383999956.8333662,182076.83235980422,768000000.0,2.49749895199177e-09,191842295.5757628,332644756.64319676
179,383999956.34698546,183099.73583508166,768000000.0,2.49749895199177e-09,191841409.4721758,332645267.67371714
180,383999955.8578799,184122.63930905986,768000000.0,2.49749895199177e-09,191840523.3672274,332645778.7018772
181,383999955.36604947,185145.54278173155,768000000.0,2.49749895199177e-09,191839637.26091778,332646289.72767663
182,383999954.8714943,186168.4462530894,768000000.0,2.49749895199177e-09,191838751.15324688,332646800.7511159
183,383999954.3742142,187191.34972312627,768000000.0,2.49749895199177e-09,191837865.0442146,332647311.77219456
184,383999953.87420934,188214.25319183487,768000000.0,2.49749895199177e-09,191836978.93382126,332647822.7909129
185,383999953.37147963,189237.15665920792,768000000.0,2.49749895199177e-09,191836092.82206652,332648333.80727077
186,383999952.8660251,190260.0601252381,768000000.0,2.49749895199177e-09,191835206.70895058,332648844.8212681
187,383999952.3578458,191282.96358991833,768000000.0,2.49749895199177e-09,191834320.5944734,332649355.8329052
188,383999951.84694165,192305.86705324118,768000000.0,2.49749895199177e-09,191833434.478635,332649866.8421817
189,383999951.3333127,193328.77051519943,768000000.0,2.49749895199177e-09,191832548.36143535,332650377.8490978
190,383999950.81695884,194351.67397578582,768000000.0,2.49749895199177e-09,191831662.2428745,332650888.85365343
191,383999950.29788023,195374.57743499315,768000000.0,2.49749895199177e-09,191830776.1229524,332651399.8558486
192,383999949.7760768,196397.4808928141,768000000.0,2.49749895199177e-09,191829890.00166905,332651910.8556833
193,383999949.2515485,197420.38434924145,768000000.0,2.49749895199177e-09,191829003.8790246,332652421.85315764
194,383999948.72429544,198443.28780426795,768000000.0,2.49749895199177e-09,191828117.75501886,332652932.84827137
195,383999948.1943175,199466.19125788627,768000000.0,2.49749895199177e-09,191827231.629652,332653443.84102464
196,383999947.66161484,200489.09471008927,768000000.0,2.49749895199177e-09,191826345.50292394,332653954.8314176
197,383999947.12618726,201511.9981608695,768000000.0,2.49749895199177e-09,191825459.37483472,332654465.81945
198,383999946.58803487,202534.90161021997,768000000.0,2.49749895199177e-09,191824573.24538422,332654976.8051219
199,383999946.0471577,203557.8050581332,768000000.0,2.49749895199177e-09,191823687.1145727,332655487.7884333
200,383999945.50355566,204580.70850460196,768000000.0,2.49749895199177e-09,191822800.9823999,332655998.76938426
201,383999944.9572288,205603.6119496191,768000000.0,2.49749895199177e-09,191821914.8488659,332656509.7479747
202,383999944.40817714,206626.51539317728,768000000.0,2.49749895199177e-09,191821028.71397093,332657020.7242046
203,383999943.85640067,207649.41883526923,768000000.0,2.49749895199177e-09,191820142.5777147,332657531.6980741
204,383999943.3018994,208672.3222758878,768000000.0,2.49749895199177e-09,191819256.4400974,332658042.669583
